Title,Authors
Daughter of the Empire,"Raymond E. Feist, Janny Wurts"
Flawless,Elsie Silver
"You, with a View",Jessica Joyce
Cloud Atlas,David Mitchell
Should You Believe Wikipedia?: Online Communities and the Construction of Knowledge,Amy S Bruckman
A Dark and Drowning Tide,Allison Saft
The Invention of the Land of Israel: From Holy Land to Homeland,Shlomo Sand
"Sister, Maiden, Monster",Lucy A. Snyder
The Candid Life of Meena Dave,Namrata Patel
Wool,Hugh Howey
The Valancourt Book of Victorian Christmas Ghost Stories,"Walter Scott, Tara Moore"
Sunshine and Spice,Aurora Palit
In the Shadow of the Fall,Tobi Ogundiran
Maggie's Grave,David Sodergren
Magic Bites,Ilona Andrews
Mutual Aid: Building Solidarity During This Crisis (and the Next),Dean Spade
The Ballad of Black Tom,Victor LaValle
The Maid and the Crocodile,Jordan Ifueko
Noor,Nnedi Okorafor
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer
The Black Gryphon,"Mercedes Lackey, Larry Dixon"
Just a Girl,Alyssa Cole
A Kingdom of Dreams,Judith McNaught
What Should Be Wild,Julia Fine
"Witches, Sluts, Feminists: Conjuring the Sex Positive",Kristen J. Sollee
The Notorious Lord Knightly,Lorraine Heath
The Xibalba Murders,Lyn Hamilton
The Guest,Emma Cline
When Stars Have Teeth,Dani Trujillo
The Poverty Industry: The Exploitation of America's Most Vulnerable Citizens,Daniel L. Hatcher
Decoding Logical Fallacies: Master Critical Thinking: Overcome Common Pitfalls and Make Better Decisions,Richard L Axiom
Her Alien Prince,Presley Hall
The Serpent and the Wings of Night,Carissa Broadbent
When Among Crows,Veronica Roth
Captive Bride,Katharine Ashe
It's Your Body: The Young Woman's Guide to Empowered Sexual Health,Dena Moes
Who Wrote the Bible?,Richard Elliott Friedman
Sailing to Sarantium,Guy Gavriel Kay
A Fate of Wrath & Flame,K.A. Tucker
Bewitched,Laura Thalassa
Daindreth's Assassin,Elisabeth Wheatley
The Ornithologist's Field Guide to Love,India Holton
A Far Wilder Magic,Allison Saft
What Moves the Dead,T. Kingfisher
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee
The Darkening,Sunya Mara
A Duet with the Siren Duke,Elise Kova
Legendborn,Tracy Deonn
A Lady by Midnight,Tessa Dare
Tender Is the Flesh,Agustina Bazterrica
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera
Morbidly Yours,Ivy Fairbanks
All Boys Aren't Blue,George M. Johnson
Don Quixote,Miguel de Cervantes
The Women Could Fly,Megan Giddings
How Fascism Works: The Politics of Us and Them,Jason Stanley
PET,Akwaeke Emezi
Wandering Stars,Tommy Orange
First Creation,mars adler
The Mistletoe Motive,Chloe Liese
We Hunt the Flame,Hafsah Faizal
A Mind Spread Out on the Ground,Alicia Elliott
The Immortal King Rao,Vauhini Vara
One Dark Window,Rachel Gillig
A River Enchanted,Rebecca Ross
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté
"To Be Taught, If Fortunate",Becky Chambers
Fair Play: A Game-Changing Solution for When You Have Too Much to Do (And More Life to Live),Eve Rodsky
Watership Down,Richard Adams
The Scoundrel Falls Hard,Sophie Jordan
Ymir,Rich Larson
Surviving Autocracy,Masha Gessen
Shadow and Bone,Leigh Bardugo
The Bride of Lycaster,Perci Jay
The Enchanted Hacienda,J.C. Cervantes
Dragon's Bait,Vivian Vande Velde
The Painted Veil,W. Somerset Maugham
Love and Other Scandals,Caroline Linden
Thistlefoot,GennaRose Nethercott
Hamnet,Maggie O'Farrell
The Fifth Season,N.K. Jemisin
The Once and Future King,T.H. White
Shark Heart: A Love Story,Emily Habeck
Wings Once Cursed & Bound,Piper J. Drake
Aisling: Breath of the New Creature,A.E. Jürgens
Just Stab Me Now,Jill Bearup
There Is a Rio Grande in Heaven,Ruben Reyes Jr.
The Soulmate Equation,Christina Lauren
Lysistrata,Aristophanes
The Pisces,Melissa Broder
The Dreaming Forest,L.B. Black
Crying in H Mart,Michelle Zauner
Viciously Yours,Jamie Applegate Hunter
The Remarkable Retirement of Edna Fisher,E.M. Anderson
The Deep Sky,Yume Kitasei
Bringing Down the Duke,Evie Dunmore
New York 2140,Kim Stanley Robinson
"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing",Emily Lynn Paulson
Year of the Reaper,Makiia Lucier
The Mists of Avalon,Marion Zimmer Bradley
Sabriel,Garth Nix
Mickey Chambers Shakes It Up,Charish Reid
The Secret Service of Tea and Treason,India Holton
A Study in Drowning,Ava Reid
The Posthumous Memoirs of Brás Cubas,Machado de Assis
A Memory Called Empire,Arkady Martine
All About Love: New Visions,bell hooks
The Ballad of the Borag-I,A.P. Beswick
The City of Brass,S.A. Chakraborty
The Purpose of Power: How We Come Together When We Fall Apart,Alicia Garza
The Only Good Indians,Stephen Graham Jones
The Perfectionist's Guide to Losing Control: A Path to Peace and Power,Katherine Morgan Schafler
The Space Between Worlds,Micaiah Johnson
It Happened One Fight,Maureen Lee Lenker
Tastes Like Shakkar,Nisha Sharma
"Mary Magdalene Revealed: The First Apostle, Her Feminist Gospel & the Christianity We Haven't Tried Yet",Meggan Watterson
The Martian Chronicles,Ray Bradbury
The Elements of Eloquence: How to Turn the Perfect English Phrase,Mark Forsyth
The Murder of Roger Ackroyd & the Hollow Bundle,Agatha Christie
"The Will to Change: Men, Masculinity, and Love",bell hooks
The First Sister,Linden A. Lewis
Annie Bot,Sierra Greer
In an Unspoken Voice: How the Body Releases Trauma and Restores Goodness,Peter A. Levine
Inland,Téa Obreht
Red Rabbit,Alex Grecian
The Unmaking of June Farrow,Adrienne Young
Unmasking Autism: Discovering the New Faces of Neurodiversity,Devon Price
She Who Became the Sun,Shelley Parker-Chan
Folk,Zoe Gilbert
Family Lore,Elizabeth Acevedo
The Bride Bet,Tessa Dare
Chlorine,Jade Song
Thornhedge,T. Kingfisher
Godkiller,Hannah Kaner
Hunt on Dark Waters,Katee Robert
Dark Rise,C.S. Pacat
"The Scandalous Confessions of Lydia Bennet, Witch",Melinda Taub
The Mountain Crown,Karin Lowachee
Nightbitch,Rachel Yoder
Ink Blood Sister Scribe,Emma Törzs
Mechanic Shop Femme's Guide to Car Ownership: Uncomplicating Cars For All of Us,Chaya M. Milchtein
X's For Eyes,Laird Barron
The God and the Gumiho,Sophie Kim
Divine Rivals,Rebecca Ross
Ensnared,Tiffany Roberts
Wolf Gone Wild,Juliette Cross
A Hero Born,Jin Yong
The Eye of the World,Robert Jordan
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson
Pizza Girl,Jean Kyoung Frazier
Behind the Throne,K.B. Wagers
This World Is Not Yours,Kemi Ashing-Giwa
Ten Thousand Stitches,Olivia Atwater
Luna: Moon Rising,Ian McDonald
Limitarianism: The Case Against Extreme Wealth,Ingrid Robeyns
Emotional Labor: The Invisible Work Shaping Our Lives and How to Claim Our Power,Rose Hackman
A Thousand Ships,Natalie Haynes
Ghost Walk,Cassandra Gannon
Mrs. Caliban,Rachel Ingalls
Born to Be Badger,Shelly Laurenston
"Therapy is... Magic: An essential guide to the ups, downs and life-changing experiences of talking therapy",Jo Love
Dawn,Octavia E. Butler
Graceling,Kristin Cashore
Wake Up America: Black Women on the Future of Democracy,Keisha N. Blain
Once Upon a Broken Heart,Stephanie Garber
The Sisters Brothers,Patrick deWitt
Inferno's Heir,Tiffany Wang
The Dispossessed,Ursula K. Le Guin
The Terraformers,Annalee Newitz
Tokyo Ueno Station,Yu Miri
"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Angela Y. Davis
Queens of Jerusalem: The Women Who Dared to Rule,Katherine Pangonis
Comfort Me with Apples,Catherynne M. Valente
Ean,Becca Saylor
A Curse of Salt,Sarah Street
Ancillary Justice,Ann Leckie
A Slow Death: 83 Days of Radiation Sickness,NHK TV Crew
Howl's Moving Castle,Diana Wynne Jones
Asiri and the Amaru,Natalia Hernandez
Lobizona,Romina Garber
Sleye,Ava Ross
The Female,Invi Wright
Here's Looking at You,Mhairi McFarlane
Fablehaven,Brandon Mull
A House with Good Bones,T. Kingfisher
Water Shall Refuse Them,Lucie McKnight Hardy
The Martian,Andy Weir
The Bridge Kingdom,Danielle L. Jensen
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander
Babel,R.F. Kuang
I Accidentally Summoned a Demon Boyfriend,Jessica Cage
A Soul to Guide,Opal Reyne
We Have Always Lived in the Castle,Shirley Jackson
Supper Club,Lara Williams
Expecting Someone Taller,Tom Holt
Nine Tailed,Jayci Lee
The Practice: Shipping Creative Work,Seth Godin
Night's Edge,Liz Kerin
Riot Baby,Tochi Onyebuchi
Social Movements: The Structure of Collective Mobilization,Paul Almeida
Home,Nnedi Okorafor
The Fall of Bradley Reed,Morgan Elizabeth
Long Live Evil,Sarah Rees Brennan
American Gods,Neil Gaiman
Defiant,Brandon Sanderson
A Master of Djinn,P. Djèlí Clark
There Arose Such A Clatter: Tales From The Naughty List,C.M. Nascosta
The Free People's Village,Sim Kern
The Fiction Between Us,Julie Olivia
Ghost Wall,Sarah Moss
The Singles Table,Sara Desai
For the Love of Men: A New Vision for Mindful Masculinity,Liz Plank
Remote Control,Nnedi Okorafor
The Winter King,C.L. Wilson
"A Radical Guide for Women with ADHD: Embrace Neurodiversity, Live Boldly, and Break Through Barriers","Michelle Frank, Sari Solden"
When the Moon Hatched,Sarah A. Parker
Defekt,Nino Cipri
Devil's Bride,Stephanie Laurens
Kushiel's Dart,Jacqueline Carey
Wuthering Heights,Emily Brontë
The Visit,Chimamanda Ngozi Adichie
Flowerheart,Catherine Bakewell
The Ruin of Kings,Jenn Lyons
Blood Over Bright Haven,M.L. Wang
A Frost of Fear and Fortitude,A.P. Beswick
The Father Christmas Letters,"J.R.R. Tolkien, Baillie Tolkien"
We Are Legion,Dennis E. Taylor
Caste: The Origins of Our Discontents,Isabel Wilkerson
The Bright Sword,Lev Grossman
The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris
Sisters of the Lost Nation,Nick Medina
Strongmen: Mussolini to the Present,Ruth Ben-Ghiat
Dark City Omega,Elizabeth Stephens
The Fake Mate,Lana Ferguson
The Ghosts of Rose Hill,R.M. Romero
The Loney,Andrew Michael Hurley
Do Androids Dream of Electric Sheep?,Philip K. Dick
Cultish: The Language of Fanaticism,Amanda Montell
Find Your Unicorn Space: Reclaim Your Creative Life in a Too-Busy World,Eve Rodsky
The Ghost Cat,Alex Howard
"Adult Children of Emotionally Immature Parents: how to heal from distant, rejecting, or self-Involved-parents",Lindsay C. Gibson
The Last Murder at the End of the World,Stuart Turton
How to ADHD: An Insider's Guide to Working with Your Brain (Not Against It),Jessica McCabe
Only and Forever,Chloe Liese
The Helm of Midnight,Marina J. Lostetter
Graveyard Shift,M.L. Rio
La Vie de Guinevere,Paula Lafferty
The Bear and the Nightingale,Katherine Arden
Lucky Red,Claudia Cravens
Nothing But Blackened Teeth,Cassandra Khaw
The Bog Wife,Kay Chronister
Romancing Miss Stone,M.C. Vaughan
The Cruel Prince,Holly Black
A People's History of the United States,Howard Zinn
The Will of the Many,James Islington
Spared By The Monster,Merry Ravenell
Guarded Treasure,Mae Lovette
Jade City,Fonda Lee
Little Fire,Hollee Mands
The Four Leaf,Lee Jacquot
Penance,Eliza Clark
The Archive Undying,Emma Mieko Candon
Ace of Spades,Faridah Àbíké-Íyímídé
Autopsy of a Fairytale,Nicole Scarano
Rejar,Dara Joy
Wylding Hall,Elizabeth Hand
Earthlings,Sayaka Murata
Stormfire,Christine Monson
Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet,Hannah Ritchie
Birthright of Scars: Rising,Laurisa Brandt
A Good Indian Girl,Mansi Shah
Scythe,Neal Shusterman
The Fine Print,Lauren Asher
The Bullet Swallower,Elizabeth Gonzalez James
When We Were Birds,Ayanna Lloyd Banwo
A Lot of People Live in This House,Bailey Merlin
"How We Show Up: Reclaiming Family, Friendship, and Community",Mia Birdsong
The Brothers Karamazov,Fyodor Dostoevsky
The Honey Witch,Sydney J. Shields
Pine,Francine Toon
Shadow of the Fox,Julie Kagawa
The Lost Cause,Cory Doctorow
Sold,Patricia McCormick
The Umbra King,Jamie Applegate Hunter
Drinks and Sinkholes,S. Usher Evans
Destroyer,Meg Smitherman
Vita Nostra,"Sergey Dyachenko, Marina Dyachenko"
A Broken Blade,Melissa Blair
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca
Leviathan Wakes,James S.A. Corey
House of Frank,Kay Synclaire
